"В Минздраве прошла презентация мобильного приложения ""Лекарственная безопасность""",https://kaktus.media/doc/426544_v_minzdrave_proshla_prezentaciia_mobilnogo_prilojeniia_lekarstvennaia_bezopasnost.html
"Фонд Ханнса Зайделя: Эта ""новая"" конституция создаст государственную структуру-""монстра""",https://kaktus.media/doc/426542_fond_hannsa_zaydelia:_eta_novaia_konstityciia_sozdast_gosydarstvennyu_stryktyry_monstra.html
Мэрия продолжает освещать улицы Бишкека,https://kaktus.media/doc/426541_meriia_prodoljaet_osveshat_ylicy_bishkeka.html
В Бишкеке только у семи детсадов высокий уровень показателей,https://kaktus.media/doc/426540_v_bishkeke_tolko_y_semi_detsadov_vysokiy_yroven_pokazateley.html
В каких городах и областях больше всего приобретают красивые номера? Статистика,https://kaktus.media/doc/426539_v_kakih_gorodah_i_oblastiah_bolshe_vsego_priobretaut_krasivye_nomera_statistika.html
В Бишкеке пассажиры ругали и ударили водителя маршрутки (видео),https://kaktus.media/doc/426536_v_bishkeke_passajiry_rygali_i_ydarili_voditelia_marshrytki_video.html
Мэрия Бишкека за 15 дней рассмотрела 189 заявлений касательно земельного вопроса,https://kaktus.media/doc/426538_meriia_bishkeka_za_15_dney_rassmotrela_189_zaiavleniy_kasatelno_zemelnogo_voprosa.html
Более 25 информационных систем от госпредприятий при ГКИТиС,https://kaktus.media/doc/426370_bolee_25_informacionnyh_sistem_ot_gospredpriiatiy_pri_gkitis.html
В Бишкеке участок школы №79 незаконно передали под строительство домов,https://kaktus.media/doc/426531_v_bishkeke_ychastok_shkoly_79_nezakonno_peredali_pod_stroitelstvo_domov.html
Избившего шестилетнего пасынка мужчину водворили в ИВС,https://kaktus.media/doc/426534_izbivshego_shestiletnego_pasynka_myjchiny_vodvorili_v_ivs.html
"Суд решил, что Текебаев получил свой мандат депутата ЖК во второй раз незаконно",https://kaktus.media/doc/426535_syd_reshil_chto_tekebaev_polychil_svoy_mandat_depytata_jk_vo_vtoroy_raz_nezakonno.html
Количество кандидатов сокращается. Карачач Исмаилова отказалась от участия в выборах,https://kaktus.media/doc/426533_kolichestvo_kandidatov_sokrashaetsia._karachach_ismailova_otkazalas_ot_ychastiia_v_vyborah.html
"""Невозможно открыть окно из-за запаха гари"". Смог в Бишкеке ранним утром (фото, видео)",https://kaktus.media/doc/426487_nevozmojno_otkryt_okno_iz_za_zapaha_gari._smog_v_bishkeke_rannim_ytrom_foto_video.html
