"Украинский врач и телеведущий Евгений Комаровский поделился мнением о дистанционном обучении школьников. По его словам, выбирая между удаленкой и обычными уроками, мы в условиях пандемии выбираем ""между плохим и плохим"". По словам Комаровского, врачи выступают за то, чтобы закрылось все, что можно. Ведь ""каждый дополнительный момент - это еще одна смерть, еще один стресс"". ""Я не сторонник того, чтобы закрывать школы, чтобы люди перестали социально общаться. Дети не могут жить и развиваться в условиях дистанционного общения. Но мы не выбираем между страшным коронавирусом и благополучием. Мы выбираем между коронавирусом и огромным количеством других проблем: домашним насилием, повышенным травматизмом. Качество общения в целом... Мы не выбираем между хорошим и плохим, обсуждая тему дистанционного обучения. Мы выбираем между плохим и плохим"", - сказал Комаровский.    ""Я считаю, что дистанционное обучение не решает проблему. Проблему решает школа, которая построена на человеческих принципах, профилактике вирусных инфекций. Школы делают все, чтобы невозможно было найти инфицирующую дозу. А теперь вы ответьте на вопрос. Ваш ребенок ходит в детсад или школу. Какое количество помещений в детсаду, и какое количество классов имеют термометр, гигрометр, увлажнитель, датчик углекислого газа, которые показывают, надышали вы или нет?"" - добавил Комаровский. Также врач ответил на вопрос о том, что якобы людям в возрасте нет смысла вакцинироваться, так как у них антитела не образуются. ""Я думаю, что иммунная система у пожилых людей работает намного хуже, не так быстро. Но тем не менее пожилые люди - это не те, кто сплошь и рядом болеет какими-то инфекционными болезнями. Противоинфекционный иммунитет у них функционирует, хотя есть ряд болезней особо опасных: тот же грипп, пневмококк, стафилококк, коронавирус, как выяснилось... Для пожилых людей существует специальная технология производства вакцин. Но кому это нужно - для пожилых закупать спецвакцину"", - добавил он. При этом Комаровский отметил, что если нет специальной вакцины, то пожилым можно прививаться и обычной.",
"В США медики вернули к жизни мужчину, сердце которого не билось на протяжении 45 минут. Об уникальном случае говорится в статье National Geographic. Житель Вудинвилла (штат Вашингтон) Майкл Кнапински пропал 7 ноября во время похода в заснеженных горах национального парка Маунт-Рейнир. Спасатели обнаружили его в бессознательном состоянии лишь на следующий день и к вечеру 45-летнего мужчину доставили в медицинский центр в Сиэтле, где у него остановилось сердце. ""Он умер, когда находился в отделении неотложной помощи, что дало нам уникальную возможность попытаться спасти его жизнь, фактически минуя его сердце и легкие, что является самой современной формой искусственного жизнеобеспечения, которая есть в мире"", - рассказала доктор Дженел Бадулак. После остановки сердца медики неоднократно провели сердечно-легочную реанимацию, а затем подключили пациента к аппарату экстракорпоральной мембранной оксигенации (ЭКМО). При этой процедуре кровь перекачивается за пределы тела в аппарат искусственного кровообращения, который удаляет углекислый газ и отправляет кровь, наполненную кислородом, обратно в организм. Примерно через 45 минут после остановки сердце Кнапински снова забилось. Медицинская бригада провела рядом с ним всю ночь, следя за тем, чтобы его состояние продолжало стабилизироваться.Спустя два дня мужчина открыл глаза. Медсестра Уитни Холен, проработавшая в клинике 12 лет, сказала, что этот момент навсегда останется одним из самых ярких в ее карьере. По ее словам, первое, что захотел сделать Кнапински, это позвонить своей семье. ""Он плакал, и они плакали, и я почти уверена, что плакала сама. Было действительно особенным моментом увидеть кого-то, над кем мы так много работали от начала и до конца, когда он просыпается так драматично и впечатляюще. Это напомнило мне о том, почему мы это делаем. Вот почему мы работаем сверхурочно, вот почему мы далеко от наших семей, вот почему мы здесь"", - говорит Холен. На следующий день Кнапински все еще пытался прийти в себя: его почки не работали должным образом, его сердце изо всех сил старалось циркулировать кровь, а его кожа была обожжена от обморожения. Однако работники больницы считают, что с ним все будет в порядке.""Он воскрес из мертвых... Может быть, с медицинской точки зрения это трактуется не совсем верно, но его сердце не билось более 45 минут. Это потрясающе"", - говорит медицинский директор хирургического отделения интенсивной терапии Саман Арбаби. После остановки сердца медики неоднократно провели сердечно-легочную реанимацию, а затем подключили пациента к аппарату экстракорпоральной мембранной оксигенации (ЭКМО). При этой процедуре кровь перекачивается за пределы тела в аппарат искусственного кровообращения, который удаляет углекислый газ и отправляет кровь, наполненную кислородом, обратно в организм.  Примерно через 45 минут после остановки сердце Кнапински снова забилось. Медицинская бригада провела рядом с ним всю ночь, следя за тем, чтобы его состояние продолжало стабилизироваться. Спустя два дня мужчина открыл глаза. Медсестра Уитни Холен, проработавшая в клинике 12 лет, сказала, что этот момент навсегда останется одним из самых ярких в ее карьере. По ее словам, первое, что захотел сделать Кнапински, это позвонить своей семье.  ""Он плакал, и они плакали, и я почти уверена, что плакала сама. Было действительно особенным моментом увидеть кого-то, над кем мы так много работали от начала и до конца, когда он просыпается так драматично и впечатляюще. Это напомнило мне о том, почему мы это делаем. Вот почему мы работаем сверхурочно, вот почему мы далеко от наших семей, вот почему мы здесь"", - говорит Холен.  На следующий день Кнапински все еще пытался прийти в себя: его почки не работали должным образом, его сердце изо всех сил старалось циркулировать кровь, а его кожа была обожжена от обморожения. Однако работники больницы считают, что с ним все будет в порядке. ""Он воскрес из мертвых... Может быть, с медицинской точки зрения это трактуется не совсем верно, но его сердце не билось более 45 минут. Это потрясающе"", - говорит медицинский директор хирургического отделения интенсивной терапии Саман Арбаби.",https://data.kaktus.media/image/big/2020-11-19_22-32-43_567186.jpg
" Житель Петербурга Арслан Гибадуллин рассказал, что нашел в заказанной в интернет-магазине обуви бренда The North Face записку с просьбой о помощи. Об этом сообщает издание ""Бумага"". Мужчина уточнил, что кеды были в упаковке почтовой доставки, а записка-стикер была приклеена к верхней части правого тапка. Он прислал фотографию посылки в редакцию издания. В записке говорится: ""Помогите. Я в тюрьме в Китае. Пожалуйста, помогите. Уйгур"". В официальном аккаунте компании The North Face в Instagram петербуржцу ответили: ""Это спам. Не обращайте внимания. Спасибо вам за сообщение"", но позже удалили комментарий. Сам мужчина считает, что инцидент нужно предать огласке независимо от того, реальная это записка или шутка. В The North Face говорят, что не использовали принудительный труд в производстве обуви. Компания начала внутреннее расследование.""Мы можем заверить вас, что не используем принудительный труд при производстве каких-либо из наших продуктов и что тюремный труд не использовался при производстве приобретенной вами обуви... Обувь на предоставленных фотографиях никогда не была в Китае"", - заявила региональный менеджер The North Face Инна Рубанова.По словам Рубановой, купленную Гибадуллиным обувь произвели во Вьетнаме и отправили напрямую на завод компании в Бельгии, а затем в дистрибьюторский центр в России. В The North Face говорят, что не использовали принудительный труд в производстве обуви. Компания начала внутреннее расследование. ""Мы можем заверить вас, что не используем принудительный труд при производстве каких-либо из наших продуктов и что тюремный труд не использовался при производстве приобретенной вами обуви... Обувь на предоставленных фотографиях никогда не была в Китае"", - заявила региональный менеджер The North Face Инна Рубанова. По словам Рубановой, купленную Гибадуллиным обувь произвели во Вьетнаме и отправили напрямую на завод компании в Бельгии, а затем в дистрибьюторский центр в России.",https://data.kaktus.media/image/big/2020-11-19_22-13-00_636700.jpg
" Премьер-министр Армении Никол Пашинян вышел к своим сторонникам, собравшимся на площади Республики в Ереване, сообщает Sputnik Армения.  Вечером 18 ноября несколько сотен человек, многие из которых были в военной форме, собрались около здания правительства в поддержку премьера. Пашинян призвал всех расходиться и заявил, что он не предаст свой народ. ""Дорогие, я должен сказать вам две вещи. Во-первых, я обещаю вам, что не предам свой народ. Во-вторых, прошу разойтись, потому что в этом митинге необходимости нет. Когда будет такая необходимость, я всех вас позову на площадь"", - сказал он. Затем Пашинян вошел в здание правительства под призывы его сторонников ""Никол, Никол!"". К сторонникам премьера обратился также руководитель его аппарата Эдуард Агаджанян. Он сказал, что благодарен собравшимся за поддержку, но в таких митингах нет необходимости. ""Премьер-министр представил сегодня дорожную карту действий, все будет выполнено, спасибо, что вы с нами"", - сказал Агаджанян. Сторонники между тем огласили свои требования Агаджаняну. ""Мы все на днях вернулись с постов. И у нас одно требование к Пашиняну: пусть даже не задумывается об отставке. Он наш премьер. И мы стоим за него горой"", - заявили люди. Некоторые выкрикивали: ""Нет такого премьера на всей планете"", ""Пашинян - наш бог"". Параллельно на площади Свободы в Ереване проходил митинг оппозиции, на котором собравшиеся требовали отставки нынешнего кабинета министров Армении во главе с Пашиняном. На митинг пришли тысячи людей. Они скандировали ""Никол, уходи!"", ""Позор"", ""Новый переговорщик, новые условия"". Собкору ""России-24"" Ярославу Красиенко удалось побеседовать с лидером одной из оппозиционных партий, заявившим, что план Пашиняна является популистским и ничего собой не представляет. ""Действующий премьер не устраивает оппозицию. Для нее главное, чтобы все переговоры, в том числе и в Минской группе ОБСЕ, проходили под руководством нового лидера"", - сказал собкор.  ",
"Бетонная плита из-за непогоды упала с крыши 9-этажного дома во Владивостоке на автомобиль, который в этот момент чистил владелец. Лишь за секунду до падения плиты на крышу авто мужчина успел отскочить. Об этом пишет РИА Новости. В местной прокуратуре заявили, что, по предварительным данным, упал козырек вентиляционной шахты, его потянули за собой провода, которые обледенели и отвисли.   Владелец внедорожника Александр рассказал, что его спасло. ""По поводу ситуации - я в шоке. Как все произошло? Услышал, что на крыше что-то шумит, голову вверх поднял, а она (плита) уже летит. Ни о чем не думал в тот момент, просто сработала реакция, отбежал"", - сказал он. Автовладелец решил подать в суд на управляющую компанию. На странице Александра в Instagram подписчики и просто незнакомые люди поздравляют его со ""вторым днем рождения"", собирают деньги на его карту.  Публикация от 22gramm (@22gramm) ",
" Сегодня, 19 ноября, в социальной сети Facebook кыргызстанского сегмента было размещено видео, на котором в селе Кароол Узгенского района Ошской области был вывешен баннер с изображением Садыра Жапарова.  По информации председателя Узгенской территориальной избирательной комиссии, баннер был снят с рекламного щита в соответствии с требованием п. 6 ст. 27 Конституционного закона ""О выборах президента Кыргызской Республики и депутатов Жогорку Кенеша Кыргызской Республики"". По данному факту был составлен акт.  Правоохранительными органами установлен гражданин Кыргызской Республики В. Р., 1957 года рождения, допустивший данное нарушение.  Узгенская ТИК рассмотрит ответственность гражданина в соответствии с Кодексом о нарушениях на своем заседании завтра, 20 ноября. В ЦИК напомнили, что агитационный период начинается с 15 декабря этого года и в настоящее время любая агитация запрещена. ""Кодексом о нарушениях и конституционным законом предусмотрена ответственность за несоблюдение правил и сроков ведения агитации"", - добавили в ведомстве.",
" Состоялась ознакомительная встреча нового руководителя межправительственной делегации по делимитации и демаркации государственной границы Камчыбека Ташиева с членами кыргызской делегации. Об этом сообщает пресс-служба правительства. Известно, что на встрече были обсуждены вопросы возобновления работы межправительственной комиссии по двустороннему сотрудничеству, активизации деятельности правительственных комиссий по делимитации и демаркации государственной границы с соседними странами. ",
"Население не должно испытывать недостатка электроэнергии и тепла в зимний период. Об этом исполняющий обязанности премьер-министра Артем Новиков сказал в ходе заседания Республиканского штаба по подготовке отраслей экономики и населения к осенне-зимнему периоду. ""Органы местного самоуправления должны держать на постоянном контроле вопрос прохождения осенне-зимнего периода. Вместе с тем должно быть исключено излишнее потребление электроэнергии в рамках установленных лимитов. Никаких веерных отключений электроэнергии не должно быть. У нас достаточно энергоресурсов для того, чтобы обеспечить безаварийное прохождение зимы. Вызывает озабоченность статистика по аварийным отключениям за последнее время. Руководители энергетических компаний должны уделить решению этого вопроса особое внимание. Население не должно испытывать отсутствия электроэнергии"", - сказал он.  И. о. премьер-министра Артем Новиков заслушал информацию полномочных представителей правительства в областях о прохождении осенне-зимнего периода. ""Все мы понимаем, что 2020 год был сложным для нас. Последние события привели к необходимости корректировки республиканского бюджета. Финансирование расходов по подготовке и прохождению осенне-зимнего периода обеспечено более чем на 90%. Остальные средства будут перечислены согласно плану до конца текущего года. Поэтому ссылка на отсутствие финансирования недопустима. От вас требуется только одно - обеспечить бесперебойное и безаварийное прохождение осенне-зимнего периода. У населения должно быть четкое понимание того, что правительство готово к зиме"", - заключил и. о. премьер-министра.",
"Сотрудники представительства омбудсмена по Чуйской области помогли и оказали правовое содействие гражданке С. С. – матери троих несовершеннолетних детей, отец которых, находясь на заработках в России, параллельно женился на другой женщине и теперь отказывает в какой-либо помощи своей законной жене в Кыргызстане и их совместным детям. Об этом сообщает пресс-служба института омбудсмена. В частности, была установлена связь с гражданкой С. С. и уточнены обстоятельства дела. Так, стало известно, что на ее иждивении (воспитании) находятся трое детей, она является матерью-одиночкой и какой-либо помощи от государства не получает. Постоянного места работы не имеет, подрабатывает выполнением услуг по уборке помещений. Получаемого заработка едва хватает на пропитание детей. Муж выехал в Россию и какой-либо материальной помощи семье не оказывает. Учитывая сложившуюся ситуацию, представители акыйкатчы обратились в Аламудунскую районную администрацию с просьбой оказать гражданке С. С. консультативно-правовую помощь для получения государственных и иных выплат, а также рассмотреть вопрос об оказании ей материальной помощи из средств райадминистрации.Кроме этого, аналогичное письмо было направлено в Аламудунское районное управление труда и социального развития. Начальник данного управления при беседе выразила готовность в оказании соответствующей государственной помощи в возможно короткие сроки. И просила сотрудников представительства при необходимости информировать граждан о необходимости обращения в районные управления труда и социального развития по вопросам государственных пособий, так как человеческие ресурсы для выявления нуждающихся лиц ограниченны.Представительство омбудсмена по Чуйской области намерено поднять вопрос о взимании алиментов с отца этих троих несовершеннолетних детей и будет держать на контроле жизненную ситуации гражданки С. С. Учитывая сложившуюся ситуацию, представители акыйкатчы обратились в Аламудунскую районную администрацию с просьбой оказать гражданке С. С. консультативно-правовую помощь для получения государственных и иных выплат, а также рассмотреть вопрос об оказании ей материальной помощи из средств райадминистрации. Кроме этого, аналогичное письмо было направлено в Аламудунское районное управление труда и социального развития. Начальник данного управления при беседе выразила готовность в оказании соответствующей государственной помощи в возможно короткие сроки. И просила сотрудников представительства при необходимости информировать граждан о необходимости обращения в районные управления труда и социального развития по вопросам государственных пособий, так как человеческие ресурсы для выявления нуждающихся лиц ограниченны. Представительство омбудсмена по Чуйской области намерено поднять вопрос о взимании алиментов с отца этих троих несовершеннолетних детей и будет держать на контроле жизненную ситуации гражданки С. С.",https://data.kaktus.media/image/big/2020-11-19_20-25-37_374278.jpg
" Центральная комиссия по выборам и проведению референдумов возвратила документы 12 кандидатам в президенты. Такое решение было принято по итогам заседания рабочей группы ЦИК, которое прошло сегодня, 19 октября. Известно, что решено вернуть документы следующим кандидатам: Бектуру Асанову, Кубанычбеку Кадырову, Нурлану Мотуеву. Сообщается, что документы возвращены им из-за наличия непогашенной судимости. Также решено вернуть документы еще девяти кандидатам: Анар Зариповой, Анаркуль Араевой, Юлии Лилиенталь, Елене Клипачевой, Жээнбеку Искендерову, Куттумидину Базаркулову, Чынгызу Капарову, Тынчтыку Акжолтаеву и Султану Аджиматову. Причина - отсутствие сертификата о знании госязыка, выданного ""Кыргызтестом"". Восемь членов ЦИК проголосовали за, один - против.",
